column_name,date,num_rows
BookedDate,2022-01-01,7
BookedDate,2022-02-01,7
BookedDate,2022-03-01,7
BookedDate,2022-04-01,7
BookedDate,2022-05-01,7
BookedDate,2022-06-01,7
BookedDate,2022-07-01,7
BookedDate,2022-08-01,7
BookedDate,2022-09-01,7
BookedDate,2022-10-01,7
BookedDate,2022-11-01,7
BookedDate,2022-12-01,7
StartDate,2022-01-01,7
StartDate,2022-02-01,7
StartDate,2022-03-01,7
StartDate,2022-04-01,7
StartDate,2022-05-01,7
StartDate,2022-06-01,7
StartDate,2022-07-01,7
StartDate,2022-08-01,7
StartDate,2022-09-01,7
StartDate,2022-10-01,7
StartDate,2022-11-01,7
StartDate,2022-12-01,7
